Note_Antonella,IDML,Categoria,Prodotto,Pagina,Pagina_fine,SKU_presenti_nel_prodotto,Num_prodotti_per_categoria,Num_SKU_per_prodotto,Num_SKU_per_categoria
SOSTITUIRE con D550,,Automazioni per porte basculanti,550,148,149,110123; 110124; 110125; 110127; 110549; 110553; 110554; 110558; 110562; 390563; 390564; 390592; 390607; 424551; 722136; 722140; 736022; 738709; 2022855; 424550001,2,20,38
SEPARARE 580 e 593,,Automazioni per porte basculanti,580 - 593,150,152,104501; 104502; 110597; 390432; 390433; 390434; 390435; 390563; 390564; 390594; 720118; 720119; 720309; 722299; 736023; 790062; 790076; 790077; 424560001; 424560101,2,20,38
,0,Automazioni per porte a libro,,153,153,,2,0,15
,,Automazioni per porte a libro,390 230V,154,155,104570; 390682; 401057; 720118; 720119; 720309; 738706; 790062; 790076; 790077,2,10,15
,,Automazioni per porte a libro,560,156,157,104561; 104562; 490251; 720118; 720119; 720309; 738700; 738703; 790062; 790076; 790077,2,11,15
,0,Barriere automatiche,,158,159,,7,0,95
,,Barriere automatiche,B614,160,163,104614; 390184; 390923; 390992; 390993; 410032; 428002; 428042; 428043; 428045; 428046; 428088; 428089; 428090; 428091; 428137; 428342; 428441; 428444; 428445; 428446; 428615; 428715; 428805; 428806; 490117; 490183; 490186; 713002; 721209; 721232; 737621; 1046143; 63001034,7,34,95
,,Barriere automatiche,615BPR,164,167,104906; 104910; 390081; 390184; 390993; 401066; 428002; 428042; 428043; 428045; 428046; 428088; 428089; 428090; 428091; 428137; 428342; 428441; 428445; 428446; 428615; 428805; 428806; 490073; 490117; 713002; 721005; 721006; 721007; 721008; 721018; 737621; 790281,7,33,95
,,Barriere automatiche,620 Standard,168,171,390184; 390828; 390992; 390993; 401051; 401066; 424641; 428002; 428042; 428043; 428045; 428046; 428088; 428089; 428090; 428091; 428137; 428163; 428176; 428342; 428441; 428445; 428446; 428615; 428805; 428806; 490058; 490117; 713002; 737621; 1046208; 1046218; 1046228; 1046268; 1046278; 1046288; 1046408; 1046418; 1046428; 1046478; 1046488; 1047048; 1047148; 1047508; 1047518; 2022715,7,46,95
,,Barriere automatiche,620 Rapida,172,175,390184; 390828; 390992; 390993; 401051; 401066; 424641; 428042; 428045; 428088; 428089; 428090; 428137; 428163; 428176; 428342; 428445; 428806; 490058; 490117; 713002; 737621; 1046338; 1046348; 1046358; 1046538; 1046548; 1046558; 2022715,7,29,95
,,Barriere automatiche,B680H,176,179,104680; 390080; 390828; 390923; 390992; 390993; 401051; 401069; 410033; 416016; 416017; 416018; 416019; 416020; 428042; 428043; 428044; 428045; 428046; 428047; 428048; 428049; 428050; 428051; 428163; 428176; 428436; 428437; 428441; 428444; 428446; 428615; 428616; 428805; 428806; 490117; 490139; 713002; 737621; 63000169; 63003452; 71209101,7,42,95
,0,Barriere automatiche,Access XL2/XXL,180,183,,7,0,95
,0,Barriere automatiche,TOLL,184,185,,7,0,95
,0,Apparecchiature elettroniche di comando,,186,186,,2,0,27
,,Apparecchiature elettroniche di comando,Contenitori,187,187,712805; 720118; 720119; 720309,2,4,27
,,Apparecchiature elettroniche di comando,Schede elettroniche,188,194,102011; 202073; 202269; 402502; 790076; 790077; 790281; 790286; 790305; 790905; 790922; 2022715; 2022855; 2024015; 2024025; 63000710; 63001034; 63002425; 63002485; 63003207; 63003390; 63003452; 63003478,2,23,27
,0,Accessori per automazioni,,195,195,,27,0,142
,,Accessori per automazioni,Dispositivi Simply Connect,196,196,787378; 787510,27,2,142
,,Accessori per automazioni,Applicazioni Simply Connect,197,199,787349; 790418,27,2,142
,,Accessori per automazioni,Sistema 433-868MHz FDS,200,201,102845; 120002; 120003; 202275; 412003; 787017; 787018; 787021; 787022; 787023; 787024; 787025; 787725,27,13,142
,,Accessori per automazioni,Sistema 433-868MHz FDS BD,202,203,102845; 120002; 120003; 202275; 412003; 787019; 787020; 787021; 787022; 787023; 787024; 787025; 787725,27,13,142
,,Accessori per automazioni,XTO - Sistema 868MHz SLH-DS,204,205,102845; 412006; 785534; 787023; 787024; 787030; 787031; 787725; 787832; 787834; 787854; 787855,27,12,142
,,Accessori per automazioni,XTO - Sistema 433 MHz SLH-SL-DS-RC,206,207,102845; 412006; 785534; 787023; 787024; 787032; 787033; 787725; 787831; 787833; 787852; 787853; 787856; 787857,27,14,142
