page_start;page_end;product;folder;CE;Safe;Green;Omnidec;2Easy;Hybrid;Classe_II;Wireless;all_badges;badge_files;qr_code;qr_codes_all;badge_texts_styled
052;052;POWER kit 230V;052_POWER_kit_230V;logo_CE_bw.ai;logo_safezone_cmyk.ai;;logo_Omnidec_bw.ai;logo_2easy_bw.ai;;;;"2Easy;CE;Omnidec;Safe";"logo_2easy_bw.ai;logo_CE_bw.ai;logo_safezone_cmyk.ai;logo_Omnidec_bw.ai";;;"Codice articolo;POWER kit 24V SAFE;Codice;Ricevente XF 433 MHz;Coppia di fotocellule XP 20B D"
053;053;POWER kit 24V;053_POWER_kit_24V;logo_CE_bw.ai;logo_safezone_cmyk.ai;;logo_Omnidec_bw.ai;logo_2easy_bw.ai;;;;"2Easy;CE;Omnidec;Safe";"logo_safezone_cmyk.ai;logo_CE_bw.ai;logo_2easy_bw.ai;logo_Omnidec_bw.ai";;;"Codice articolo;POWER kit 24V SAFE;Codice;Ricevente XF 433 MHz;Coppia di fotocellule XP 20B D"
054;054;PRATICO C kit;054_PRATICO_C_kit;logo_CE_bw.ai;logo_safezone_cmyk.ai;;;;;;;"CE;Safe";"logo_CE_bw.ai;logo_safezone_cmyk.ai";;;"Codice;Coppia di fotocellule XP20 D;Ricevente ad innesto 1 canale RP 433 SLH;Coppia di fotocellule XP20B D;Ricevente XF 433 MHz"
055;055;DELTA 2 kit;055_DELTA_2_kit;logo_CE_bw.ai;logo_safezone_cmyk.ai;;;;;;;"CE;Safe";"logo_CE_bw.ai;logo_safezone_cmyk.ai";;;"Codice articolo;DELTA 2 kit 230V SAFE;Codice;Coppia di fotocellule XP20 D;Ricevente ad innesto 1 canale RP 433 SLH"
056;056;DELTA 3 kit;056_DELTA_3_kit;logo_CE_bw.ai;logo_safezone_cmyk.ai;logo_greentech_cmyk.ai;logo_Omnidec_bw.ai;logo_2easy_bw.ai;;;;"2Easy;CE;Green;Omnidec;Safe";"logo_greentech_cmyk.ai;logo_safezone_cmyk.ai;logo_2easy_bw.ai;logo_Omnidec_bw.ai;logo_CE_bw.ai";;;"Codice;Ricevente XF 433 MHz;Coppia di fotocellule XP 20B D;Coppia di fotocellule XP 20 D;Ricevente ad innesto 1 canale RP 433 SLH"
057;057;RAPID kit;057_RAPID_kit;logo_CE_bw.ai;logo_safezone_cmyk.ai;logo_greentech_cmyk.ai;logo_Omnidec_bw.ai;logo_2easy_bw.ai;;;;"2Easy;CE;Green;Omnidec;Safe";"logo_2easy_bw.ai;logo_safezone_cmyk.ai;logo_Omnidec_bw.ai;logo_CE_bw.ai;logo_greentech_cmyk.ai";;;"Codice articolo;RAPID kit 24V SAFE&GREEN;RAPID kit 800 Kg - 24V SAFE&GREEN;Codice;Ricevente XF 433 MHz"
058;058;SOLID kit;058_SOLID_kit;logo_CE_bw.ai;logo_safezone_cmyk.ai;;logo_Omnidec_bw.ai;;;;;"CE;Omnidec;Safe";"logo_CE_bw.ai;logo_Omnidec_bw.ai;logo_safezone_cmyk.ai";;;"Codice articolo;SOLID kit 230V SAFE;Codice Articolo;DOLPHIN D600 kit 24V SAFE;Codice"
059;059;DOLPHIN kit;059_DOLPHIN_kit;logo_CE_bw.ai;logo_safezone_cmyk.ai;;logo_Omnidec_bw.ai;;;;;"CE;Omnidec;Safe";"logo_CE_bw.ai;logo_Omnidec_bw.ai;logo_safezone_cmyk.ai";;;"Codice Articolo;DOLPHIN D600 kit 24V SAFE;Codice articolo;SOLID kit 230V SAFE;Codice"
060;061;ROTOR Kit;060-061_ROTOR_Kit;logo_CE_bw.ai;logo_safezone_cmyk.ai;logo_greentech_cmyk.ai;;;;;;"CE;Green;Safe";"logo_safezone_cmyk.ai;logo_greentech_cmyk.ai;logo_CE_bw.ai";;;"Guida alla scelta del prodotto;Codice;Ricevente ad innesto RP 433 SLH-DS-SL;XP20 D fotocellula orientabile 20m;Codice Articolo"
072;073;S418;072-073_S418;logo_CE_bw.ai;logo_safezone_cmyk.ai;logo_greentech_cmyk.ai;;;;;;"CE;Green;Safe";"logo_safezone_cmyk.ai;logo_greentech_cmyk.ai;logo_CE_bw.ai";;;"Accessori vari;Sistema 24V SAFEzone:;Fotocellule e colonnette;Trasmittenti e riceventi;un attuatore elettromeccanico, accessori per l’installazione, una chiave di sblocco."
