Product,Page,Spec_Field,nome_modello1,codice_sku1,value1,nome_modello2,codice_sku2,value2,nome_modello3,codice_sku3,value3,nome_modello4,codice_sku4,value4,nome_modello5,codice_sku5,value5,nome_modello6,codice_sku6,value6,nome_modello7,codice_sku7,value7,nome_modello8,codice_sku8,value8,nome_modello9,codice_sku9,value9,nome_modello10,codice_sku10,value10,nome_modello11,codice_sku11,value11,nome_modello12,codice_sku12,value12,nome_modello13,codice_sku13,value13,nome_modello14,codice_sku14,value14,nome_modello15,codice_sku15,value15,nome_modello16,codice_sku16,value16,nome_modello17,codice_sku17,value17
412,074-075,Diametro scatole portamolle,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Dimensione del pilastro a sezione quadrata,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Dimensione max porta (LxH),412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Dimensioni (LxPxH),412 dx,104470,991 x 101 x 172 mm,412 sx,104471,991 x 101 x 172 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Dimensioni colonna,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Dispositivo di sblocco,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Encoder,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Finecorsa,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Forza max di spinta,412 dx,104470,3500 N (*),412 sx,104471,3500 N (*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Frequenza di utilizzo,412 dx,104470,18 cicli/ora,412 sx,104471,18 cicli/ora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Grado di protezione,412 dx,104470,IP44,412 sx,104471,IP44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Larghezza max anta,412 dx,104470,1.8 m,412 sx,104471,1.8 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Larghezza max serranda,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Luce di cortesia,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Lunghezza max anta,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Lunghezza max asta,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Modello,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Motore elettrico,412 dx,104470,Asincrono monofase,412 sx,104471,Asincrono monofase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Peso,412 dx,104470,6.5 Kg,412 sx,104471,6.5 Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Peso max anta,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Peso max anta cantilever,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Peso max porta,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Peso operatore,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Pignone,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Portata gruppo motore-pompa,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Potenza max,412 dx,104470,280 W,412 sx,104471,280 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Raffreddamento,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Rapporto di riduzione,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Regolazione della forza,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Regolazione velocità e controllo motore,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Rumorosità,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Spazio di fermata,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Staffe di fissaggio,412 dx,104470,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,412 sx,104471,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare/avvitare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Temperatura ambiente di esercizio,412 dx,104470,-20°C ÷ + 55°C,412 sx,104471,-20°C ÷ + 55°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Tempo di apertura,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Tempo di utilizzo continuo (ROT),412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Temporizzazione lampada di cortesia,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Tensione di alimentazione di rete,412 dx,104470,220-240V~ 50/60 Hz,412 sx,104471,220-240V~ 50/60 Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Termoprotezione,412 dx,104470,140°C,412 sx,104471,140°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Tipo di asta,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Tipo di materiale,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Tipo di motoriduttore,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Tipo di olio,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Tipo di rallentamento,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Tipo di trattamento,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Tipo di utilizzo,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Velocità angolare max,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Velocità dell'anta,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Velocità di rallentamento,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Velocità di rotazione motore,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Velocità max,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Velocità max anta,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Velocità max carrello,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,Velocità max stelo,412 dx,104470,16 mm/s (*),412 sx,104471,16 mm/s (*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,"da 4,5 m a 5 m",412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,da 5 m a 7 m,412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,"da 7 m a 7,5 m",412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,"da 7,5 m a 8 m",412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,074-075,"fino a 4,5 m",412 dx,104470,,412 sx,104471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413 230V,076-077,1,413 230V,104413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413 230V,076-077,2,413 230V,104413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413 230V,076-077,620 Rapida,413 230V,104413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413 230V,076-077,620 Standard,413 230V,104413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413 230V,076-077,620 Standard ARTICOLATA,413 230V,104413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413 230V,076-077,Altezza max serranda,413 230V,104413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413 230V,076-077,Altezza min architrave,413 230V,104413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
