codice_sku,num_variants,variant_num,tipo_componente,nome_modello,descrizione_breve,tensione_alimentazione,potenza_massima
104584,3,1,Modello,392,Attuatore 392 con braccio articolato,,
104584,3,2,Modello,392,Attuatore elettromeccanico a braccio articolato 24V,-,
104584,3,3,accessorio,,Attuatore 392 senza scheda elettronica,,
104614,3,1,Modello,B614 Rosso RAL 3020,,,
104614,3,2,accessorio,,B614 Rosso RAL 3020,,
104614,3,3,accessorio,,Barriera B614,,
1046143,3,1,Modello,B614 Grigio RAL 9006,,220-240V ~ 50/60 Hz,165 W
1046143,3,2,accessorio,,B614 Grigio RAL 9006,,
1046143,3,3,accessorio,,,,
1046228,3,1,Modello,620 Standard,,,
1046228,3,2,accessorio,,,,
1046228,3,3,accessorio,,Barriera 620 Standard,,
104680,3,1,Modello,B680H,,Switching: 100 ÷ 240V~ 50/60 Hz,240 W
104680,3,2,Modello,B680H,Barriera automatica 24V HYbrid,Switching: 100 ÷ 240V~ 50/60 Hz,240 W
104680,3,3,accessorio,,Barriera B680H,,
104906,3,1,Modello,615BPR Standard Arancio RAL 2004,,220-240V~ 50/60 Hz,220 W
104906,3,2,accessorio,,615BPR Standard Arancio RAL 2004,,
104906,3,3,accessorio,,615BPR Standard,,
10675201,3,1,Modello,770N 230V,Attuatori interrati 770N 230V,220-240V~ 50/60 Hz,380 W
10675201,3,2,Modello,770N 230V,Attuatore elettromeccanico interrato,220-240V~ 50/60 Hz,380 W
10675201,3,3,accessorio,,Attuatori 770N - 230V,,
10675301,3,1,Modello,770N 24V,Attuatori interrati 770N 24V,220-240V~ 50/60 Hz,70 W
10675301,3,2,Modello,770N 24V,Attuatore elettromeccanico interrato,220-240V~ 50/60 Hz,70 W
10675301,3,3,accessorio,,Attuatori 770N 24V,,
108720,3,1,Modello,S800H ENC CBAC 100°,,220-240V~ 50/60 Hz,60 W
108720,3,2,Modello,S800H ENC CBAC 100°,Attuatore oleodinamico 24V interrato,220-240V~ 50/60 Hz,60 W
108720,3,3,accessorio,,S800H ENC CBAC 100°,,
108722,3,1,Modello,S800H ENC CBAC 180°,,220-240V~ 50/60 Hz,60 W
108722,3,2,Modello,S800H ENC CBAC 180°,Attuatore oleodinamico 24V interrato,220-240V~ 50/60 Hz,60 W
108722,3,3,accessorio,,,,
108724,3,1,Modello,S800H ENC SBW 100°,,220-240V~ 50/60 Hz,60 W
108724,3,2,Modello,S800H ENC SBW 100°,Attuatore oleodinamico 24V interrato,220-240V~ 50/60 Hz,60 W
108724,3,3,accessorio,,,,
108725,3,1,Modello,S800H ENC SBW 180°,,220-240V~ 50/60 Hz,60 W
108725,3,2,Modello,S800H ENC SBW 180°,Attuatore oleodinamico 24V interrato,220-240V~ 50/60 Hz,60 W
108725,3,3,accessorio,,,,
108800,3,1,Modello,S800 ENC CBAC 100°,,220-240V~ 50/60 Hz,220 W
108800,3,2,Modello,S800 ENC CBAC 100°,Attuatore oleodinamico 230V interrato,220-240V~ 50/60 Hz,220 W
108800,3,3,accessorio,,S800 ENC CBAC 100° 230V,,
108801,3,1,Modello,S800 ENC CBAC 180°,,220-240V~ 50/60 Hz,220 W
