Page,Product,Spec_Label,Model_1,Model_1_SKU,Value_1,Model_2,Model_2_SKU,Value_2,Model_3,Model_3_SKU,Value_3,Model_4,Model_4_SKU,Value_4,Model_5,Model_5_SKU,Value_5,Model_6,Model_6_SKU,Value_6,Model_7,Model_7_SKU,Value_7,Model_8,Model_8_SKU,Value_8,Model_9,Model_9_SKU,Value_9,Model_10,Model_10_SKU,Value_10,Model_11,Model_11_SKU,Value_11
090-091,400,Motore elettrico,400 CBC,104205,Asincrono monofase,400 SB,104206,,400 SBS,104203,,400 CBAC,104201,,400 CBAC L,104202,,400 SBS L,104220,,,,,,,,,,,,,,,,
090-091,400,Potenza max,400 CBC,104205,220 W,400 SB,104206,,400 SBS,104203,,400 CBAC,104201,,400 CBAC L,104202,,400 SBS L,104220,,,,,,,,,,,,,,,,
090-091,400,Forza max di spinta,400 CBC,104205,6200 N (*),400 SB,104206,,400 SBS,104203,7750 N (*),400 CBAC,104201,6200 N (*),400 CBAC L,104202,4650 N (*),400 SBS L,104220,7750 N (*),,,,,,,,,,,,,,,
090-091,400,Velocità max stelo,400 CBC,104205,10 mm/s (*),400 SB,104206,,400 SBS,104203,"7,5 mm/s (*)",400 CBAC,104201,10 mm/s (*),400 CBAC L,104202,15 mm/s (*),400 SBS L,104220,"7,5 mm/s (*)",,,,,,,,,,,,,,,
090-091,400,Portata gruppo motore-pompa,400 CBC,104205,1 lpm (*),400 SB,104206,,400 SBS,104203,"0,75 lpm (*)",400 CBAC,104201,1 lpm (*),400 CBAC L,104202,"1,5 lpm (*)",400 SBS L,104220,"0,75 lpm (*)",,,,,,,,,,,,,,,
090-091,400,Corsa dello stelo,400 CBC,104205,270 mm,400 SB,104206,,400 SBS,104203,,400 CBAC,104201,,400 CBAC L,104202,390 mm,400 SBS L,104220,,,,,,,,,,,,,,,,
090-091,400,Angolo max apertura anta,400 CBC,104205,125°,400 SB,104206,,400 SBS,104203,,400 CBAC,104201,,400 CBAC L,104202,,400 SBS L,104220,,,,,,,,,,,,,,,,
090-091,400,Temperatura ambiente di esercizio,400 CBC,104205,-20°C ÷ + 55°C,400 SB,104206,,400 SBS,104203,,400 CBAC,104201,,400 CBAC L,104202,,400 SBS L,104220,,,,,,,,,,,,,,,,
090-091,400,Termoprotezione,400 CBC,104205,120°C,400 SB,104206,,400 SBS,104203,,400 CBAC,104201,,400 CBAC L,104202,,400 SBS L,104220,,,,,,,,,,,,,,,,
090-091,400,Grado di protezione,400 CBC,104205,IP55,400 SB,104206,,400 SBS,104203,,400 CBAC,104201,,400 CBAC L,104202,,400 SBS L,104220,,,,,,,,,,,,,,,,
090-091,400,Peso,400 CBC,104205,"8,6 Kg",400 SB,104206,,400 SBS,104203,,400 CBAC,104201,,400 CBAC L,104202,10 Kg,400 SBS L,104220,,,,,,,,,,,,,,,,
090-091,400,Frequenza di utilizzo,400 CBC,104205,70 cicli/ora,400 SB,104206,,400 SBS,104203,60 cicli/ora,400 CBAC,104201,70 cicli/ora,400 CBAC L,104202,50 cicli/ora,400 SBS L,104220,40 cicli/ora,,,,,,,,,,,,,,,
090-091,400,Larghezza max anta,400 CBC,104205,"2,20 m",400 SB,104206,"4,00 m (con elettroserratura)",400 SBS,104203,"7,00 m (con elettroserratura)",400 CBAC,104201,"2,20 m",400 CBAC L,104202,,400 SBS L,104220,"7,00 m (con elettroserratura)",,,,,,,,,,,,,,,
090-091,400,Tipo di olio,400 CBC,104205,FAAC HP OIL,400 SB,104206,,400 SBS,104203,,400 CBAC,104201,,400 CBAC L,104202,,400 SBS L,104220,,,,,,,,,,,,,,,,
090-091,400,Staffe di fissaggio,400 CBC,104205,Attacco posteriore a saldare/avvitare - attacco anteriore a saldare,400 SB,104206,,400 SBS,104203,,400 CBAC,104201,,400 CBAC L,104202,,400 SBS L,104220,,,,,,,,,,,,,,,,
090-091,400,Dimensioni (LxPxH),400 CBC,104205,1034 x 85 x 119 mm,400 SB,104206,,400 SBS,104203,,400 CBAC,104201,,400 CBAC L,104202,1277 x 85 x 119 mm,400 SBS L,104220,,,,,,,,,,,,,,,,
090-091,400,Apparecchiatura elettronica,400 CBC,104205,Non compresa,400 SB,104206,,400 SBS,104203,,400 CBAC,104201,,400 CBAC L,104202,,400 SBS L,104220,,,,,,,,,,,,,,,,
092-094,S450H,Tensione di alimentazione di rete,S450H CBAC,104100,220-240V~ 50/60 Hz,S450H SB,104101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092-094,S450H,Motore elettrico,S450H CBAC,104100,Con spazzole 24V,S450H SB,104101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092-094,S450H,Potenza max,S450H CBAC,104100,60 W,S450H SB,104101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092-094,S450H,Forza max di spinta,S450H CBAC,104100,&gt; 5000 N,S450H SB,104101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092-094,S450H,Velocità max stelo,S450H CBAC,104100,&gt;25 mm/sec,S450H SB,104101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092-094,S450H,Corsa dello stelo,S450H CBAC,104100,311 mm,S450H SB,104101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092-094,S450H,Angolo max apertura anta,S450H CBAC,104100,110°,S450H SB,104101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092-094,S450H,Temperatura ambiente di esercizio,S450H CBAC,104100,-20°C ÷ +55°C,S450H SB,104101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092-094,S450H,Grado di protezione,S450H CBAC,104100,IP55,S450H SB,104101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092-094,S450H,Peso,S450H CBAC,104100,"6,5 Kg",S450H SB,104101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092-094,S450H,Frequenza di utilizzo,S450H CBAC,104100,Uso continuo,S450H SB,104101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
092-094,S450H,Larghezza max anta,S450H CBAC,104100,2 m,S450H SB,104101,3 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
092-094,S450H,Tipo di olio,S450H CBAC,104100,FAAC HP OIL,S450H SB,104101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
